base_price,total_beds,occupancy_rate,month,city_tier,distance_to_university,student_rating,has_ac,has_wifi,is_weekend,competitor_avg_price,optimal_price
12000.0,6,0.877648206564472,10,2,3.9,4.4,0,1,1,13500.0,12600.0
10500.0,4,0.624809562460026,7,3,0.6,5.0,0,1,1,11000.0,13300.0
13500.0,4,0.4344944318795097,12,2,9.3,4.4,0,1,0,15000.0,11900.0
8000.0,8,0.8451376526801295,11,2,6.2,5.0,0,1,0,6500.0,7800.0
13000.0,4,0.5662130632206533,5,2,1.6,3.9,1,1,0,12500.0,17000.0
6000.0,4,0.7488699410574945,1,2,4.8,4.0,0,1,1,5500.0,6500.0
10000.0,1,0.6444835915286421,10,2,4.0,4.5,1,0,0,11000.0,12900.0
11500.0,4,0.6980335573826697,8,1,3.4,4.6,0,1,1,9500.0,13000.0
11000.0,8,0.739350221641368,5,2,0.7,3.0,1,1,0,9500.0,14700.0
12000.0,2,0.9361262493224023,2,2,4.9,3.9,0,1,0,11500.0,13700.0
9000.0,4,0.8225492505926524,6,3,1.2,4.4,1,1,0,9000.0,11600.0
12000.0,8,0.7846609902572088,11,1,0.3,3.9,1,1,1,14000.0,16900.0
14500.0,6,0.7327886173733398,11,2,9.8,4.8,1,1,1,16000.0,17400.0
10000.0,6,0.7075391279085452,7,1,6.5,4.8,0,0,1,9500.0,11300.0
11500.0,8,0.6859658732555818,9,2,3.8,4.3,1,1,0,11500.0,14400.0
21000.0,4,0.7332971791757336,12,2,0.3,4.6,0,1,0,21500.0,24600.0
16500.0,2,0.6156293325937318,12,3,1.4,3.2,0,1,1,17500.0,20100.0
15500.0,6,0.6537655987851578,6,3,2.4,4.1,0,1,0,15000.0,14600.0
7500.0,6,0.5450594944671769,1,2,10.4,3.5,0,1,1,8000.0,7100.0
12500.0,4,0.6573063313826089,6,2,0.7,4.0,0,1,0,14500.0,13100.0
11000.0,2,0.604514623171449,11,2,2.6,3.9,1,1,1,11000.0,13200.0
14500.0,2,0.6899919893267755,10,3,2.2,3.8,0,1,0,16000.0,14200.0
14500.0,4,0.8212860861698211,6,2,0.9,4.3,0,0,0,13500.0,16200.0
13500.0,4,0.779250488863583,8,3,2.1,3.9,1,1,0,12500.0,17700.0
12500.0,6,0.49347520869928685,3,2,10.0,3.5,1,1,0,11500.0,12700.0
7000.0,4,0.5466613688872356,1,1,3.4,2.7,0,1,1,7500.0,5900.0
12500.0,4,0.9232235825042542,8,2,3.8,5.0,0,1,1,10500.0,16500.0
21500.0,4,0.6073285516511985,4,1,0.3,4.9,1,1,0,21000.0,29900.0
12000.0,1,0.3646669680374618,1,2,8.1,4.2,1,1,0,13500.0,12000.0
7500.0,4,0.7371999550876368,9,3,0.1,4.6,0,1,0,7000.0,9000.0
